"","Fruits","Non-starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans and Legumes","Nuts and Seeds","Refined Grains","Whole Grains","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Cheese","Yoghurt","Sugars","Milk","Salt"
"Venezuela",280.3248938,190.5001575,146.0046798,340.3216517,64.73607229,0.918844351,620.3644811,74.24202006,155.9097794,93.1645278,57.49951394,10.38657099,29.69896179,1.449977524,102.8528048,146.438613,523.3748938,5.843215761
"Colombia",285.6832274,197.5484447,567.9046938,110.3867347,26.69206889,5.673638943,325.2727112,100.4016848,94.3321916,114.0172512,21.76572716,0.947756889,43.14717534,1.689337325,11.85603692,267.12054,346.0903287,2.863081661
"Peru",376.3928598,236.1074999,521.0667582,20.41731285,31.96594505,13.08278627,394.5389887,117.8636515,109.2967622,136.7907184,147.965385,14.50641029,32.67206014,2.179800494,12.51016966,112.0700452,171.9042504,5.858821954
"Paraguay",248.9999491,155.7409857,53.61309653,90.09328577,121.0331368,19.53127037,1833.366238,606.3100872,78.82659713,139.8747777,25.96773349,0.649193337,100.4058042,0,475.6378672,129.5429724,242.466474,4.984278813
"Bolivia",205.1853082,126.1048655,692.8137113,94.68274066,14.29676916,105.8854245,360.4838004,125.1193412,130.9844395,234.7215524,8.275068164,0.065936798,23.69647808,0.614149931,61.93132519,455.0055329,130.0302678,5.549333522
"Brazil",395.8233959,158.9464657,64.4793651,5.870431808,44.32184396,11.32666243,433.3115899,11.78403411,127.9116538,217.5586673,26.61218132,2.451546401,40.52498682,1.81597226,22.88792806,125.7529977,455.9740337,7.53352682
"Argentina",254.5868956,224.46068,130.1343716,28.18770469,10.72501873,1.60014416,394.8803931,22.37367647,82.18235193,342.3386404,16.09297987,9.648667137,53.03994109,2.234286647,75.34458432,137.4555635,574.3371323,4.149102469
"Uruguay",258.7357099,185.6678561,295.1129553,266.0941598,40.44066341,14.76812967,1046.715908,187.5699275,157.4831547,141.2886214,54.76451991,8.235266152,65.25973742,22.13190921,404.0098483,215.4893223,1101.869381,6.455365654
