"","Angola","Benin","Burkina Faso","Central African Republic","Cote d'Ivoire","Cameroon","Congo","Djibouti","Algeria","Egypt","Ethiopia","Gabon","Ghana","Guinea","The Gambia","Guinea-Bissau","Kenya","Lesotho","Morocco","Madagascar","Mali","Mozambique","Mauritania","Mauritius","Malawi","Namibia","Niger","Nigeria","Rwanda","Senegal","Chad","Togo","Tunisia","Tanzania","Uganda","South Africa","Zambia","Zimbabwe","Albania","Argentina","Antigua and Barbuda","Australia","Austria","Belgium","Bangladesh","Bulgaria","Bosnia and Herzegovina","Bolivia","Brazil","Barbados","Canada","Switzerland","China","Colombia","Cuba","Germany","Dominica","Denmark","Dominican Republic","Spain","France","United Kingdom","Greece","Grenada","Croatia","Hungary","Indonesia","India ","Ireland","Iran","Iraq","Iceland","Jordan","Japan","Cambodia ","South Korea","Kuwait","Laos","Saint Lucia","Sri Lanka","Luxembourg","Mexico","Myanmar","Montenegro","Mongolia","Malaysia","Netherlands","Norway","Pakistan","Peru","Philippines","Portugal","Paraguay","Romania","Russia","Saudi Arabia","Serbia","Slovakia","Slovenia","Sweden","Syria","Thailand","Trinidad and Tobago","Turkey","Ukraine","Uruguay","United States","Venezuela","Vietnam"
"Cheese","1.068493151","0.082191781","0.246575342","0.02739726","0.109589041","0.054794521","0.164383562","0.575342466","1.150684932","2.328767123","0.438356164","0.876712329","0.136986301","0.219178082","0.493150685","0.219178082","2","0.02739726","4.438356164","0","0.054794521","0.082191781","1.369863014","4.02739726","0.02739726","2.246575342","2.328767123","0.246575342","0.493150685","0.410958904","0.109589041","0.164383562","5.178082192","1.863013699","0.164383562","0.739726027","0.246575342","0.657534247","5.589041096","2.657534247","10.71232877","13.56164384","35.17808219","41.42465753","0.493150685","3.01369863","4.794520548","0.301369863","1.452054795","7.424657534","31.39726027","14.82191781","0.410958904","1.315068493","0.712328767","34.84931507","1.342465753","31.75342466","0.931506849","7.643835616","26.76712329","10.38356164","6.219178082","3.287671233","4.246575342","22.54794521","0.273972603","8.438356164","22.10958904","6","0.849315068","46.95890411","1.315068493","1.643835616","0.164383562","4.328767123","6.575342466","0.082191781","3.479452055","0.191780822","18.87671233","1.123287671","2.493150685","6.082191781","14.68493151","1.698630137","9.01369863","27.75342466","14.57534247","0.575342466","0.164383562","11.56164384","0.191780822","3.287671233","14.05479452","9.890410959","1.01369863","15.42465753","36.95890411","56.10958904","1.671232877","0.712328767","1.616438356","7.287671233","5.835616438","3.260273973","6.246575342","0.383561644","0.246575342"
"Yoghurt","54.8997394","9.365946375","35.39061793","19.20647789","2.220447126","339.9171194","7.625267125","12.04888267","5.998228855","22.19903605","51.77104215","4.537590793","21.51219533","10.54863692","39.45266274","10.66698633","39.08392558","60.7251013","34.60324023","41.17433196","8.677718755","54.0894245","58.12483005","1.311226879","6.08194989","42.17544991","52.11398265","24.90247609","44.36885387","33.75819067","6.42097337","9.30148681","8.207514835","37.67499198","13.58938004","5.103179335","66.3138617","30.28078538","106.7894868","57.05304757","18.37765135","70.72962095","88.13284576","38.82153568","4.363752544","655.2632503","96.00803103","15.1650855","16.55766589","24.07919394","12.06656103","42.59513128","104.8541278","9.107299321","41.40568422","21.16221213","79.13475945","21.90095135","76.98515873","7.575838731","63.96425911","121.0915455","70.22780848","82.85064414","17.37092732","106.8503346","113.1499633","2.572876051","11.76425706","80.55840523","105.0644842","47.67728124","86.63955547","45.45945437","67.56177764","0.764101074","31.45610288","102.3744249","12.86567794","18.78904965","15.78258816","75.63177399","27.08510729","10.31798139","129.7342782","59.25210751","9.889229032","223.041985","74.93502067","8.985839933","13.08294799","5.990245166","115.4003829","13.77876772","99.90710059","110.8537698","85.01227369","80.72561799","53.18583819","117.4719092","131.8784743","58.60097524","7.443071897","22.83131463","198.4694845","91.82852661","27.69438563","23.65794088","20.25931932"
"Total Milk","20.84931507","33.12328767","52.05479452","35.12328767","3.890410959","27.17808219","3.643835616","84.38356164","224.4931507","101.2876712","84.19178082","35.31506849","5.178082192","43.89041096","77.12328767","49.39726027","201.3424658","148.6849315","63.89041096","57.26027397","129.1232877","10.63013699","228.8219178","52.08219178","25.69863014","157.1232877","105.9452055","3.616438356","43.5890411","32.79452055","61.56164384","2.054794521","250.6849315","76.24657534","103.2876712","136.6027397","19.5890411","75.28767123","826.6027397","530.4931507","120.9589041","595.2054795","481.8082192","280.4109589","49.75342466","369.4794521","517.4794521","116.4657534","401.260274","66.73972603","382.5479452","804.3287671","63.75342466","314.5205479","213.3424658","432.2739726","191.6986301","672.5479452","179.1506849","414.5205479","480.8493151","567.2876712","640.6575342","65.83561644","598","448","12.95890411","164.739726","679.7260274","48.30136986","81.53424658","550.3287671","116.7671233","128.1917808","4.95890411","25.04109589","112.9315068","6.520547945","82.16438356","23.5890411","294.3835616","248.0547945","44.32876712","945.1506849","402.7945205","16.1369863","832.5753425","470.7671233","274.1917808","148.5753425","2.301369863","354.9589041","187.7260274","635.2054795","354.2465753","108.9315068","428.3561644","390.4383562","374.9041096","492.7945205","266.4109589","42.08219178","82.90410959","427.6712329","395.6164384","475.3150685","607.0958904","368.9863014","16.2739726"
"Fruits","174.8493151","108.630137","13.97260274","121.2328767","32.1369863","168.5753425","102.630137","111.7808219","306.109589","414.109589","23.36986301","69.23287671","179.5616438","114.5753425","12.02739726","82","206","35.26027397","248.3835616","138.3287671","135.6438356","110.2465753","37.7260274","112.3561644","382.2191781","97.23287671","71.23287671","66.2739726","228.3013699","48.71232877","22.2739726","23.69863014","236.3835616","230.0273973","10.2739726","70.38356164","23.31506849","60.16438356","455.9452055","240.739726","340.9863014","196.3287671","245.6164384","313.4794521","81.09589041","133.1232877","245.9726027","172.0547945","356.1643836","181.1232877","254.3561644","220.2739726","248.109589","304.2191781","265.1232877","207.1780822","1059.205479","155.1780822","663.3424658","175.9178082","214.5479452","233.3150685","312.8767123","372.5753425","234.4931507","167.9178082","225.0136986","204.4109589","170.739726","411.8356164","180.6027397","211.4794521","114.5205479","91.01369863","81.78082192","142.9863014","239.0410959","431.6164384","190.9863014","239.6712329","219.4520548","303.3150685","93.28767123","304.4383562","32.05479452","148.4931507","299.1780822","217.8630137","108.5753425","356.0547945","249.6438356","277.0958904","213.1232877","220.6575342","151.3424658","163.4794521","246.6027397","131.5616438","305.1780822","178.8493151","248.5479452","478.8493151","167.260274","317.6986301","136.6027397","224.4109589","233.6438356","197.6438356","237.4246575"
"Refined Grains","721.9649923","505.412022","259.0708363","238.779342","537.6576963","373.3927568","890.3941875","268.4619053","379.4509646","425.2262363","393.3913964","436.2964736","698.3456898","464.8242519","290.8228054","166.9464553","371.2057274","298.3929832","291.9946295","451.7705165","320.0151931","304.3996112","361.2692308","285.3837969","544.3126032","284.8399342","382.114809","343.3081917","318.7175762","393.2574582","203.1520921","551.1896822","484.7167567","470.3334215","359.9212079","153.3502882","371.525118","343.7472928","359.6570229","321.6189258","194.9402856","146.298755","142.2133372","174.718671","309.504628","262.4319403","369.1698572","300.7145113","362.5384891","161.1780571","187.009216","181.1876954","326.4407631","305.4546054","401.7598142","233.8591537","144.3380125","93.86783032","188.1435503","240.8546162","316.7586931","229.448286","152.3538847","191.2179132","259.884375","160.2248505","543.7383251","252.1832591","267.5231549","437.3283654","405.7467308","118.7839829","343.8731604","239.6700202","620.9612701","268.67246","322.0417187","351.6797409","196.478849","335.1898077","273.8419029","404.0277669","246.2243371","110.9319751","218.7864515","266.6158895","122.7057853","104.8213534","304.8461738","346.1670548","329.6883868","278.2371668","604.4838251","436.2398529","150.2526477","387.2271286","257.6049547","158.5381561","298.866757","142.1837336","397.0385843","248.5712258","262.1784202","548.497219","312.1491011","364.5201262","238.8847492","303.3327896","318.3967741"
"Whole Grains","65.77678851","40.15195062","145.4739582","248.6320278","27.54709824","139.0445035","82.2670454","105.7465879","185.1787614","197.0558185","7.725589939","33.65078667","82.68006363","99.80930978","29.1773316","92.96573647","14.60879319","118.8142771","434.1211239","27.96277119","79.66398494","252.7502518","26.17200205","98.61428533","178.5228762","32.09280552","7.761766374","248.6009864","17.11351966","12.78692534","86.14297642","33.95086576","76.57283235","23.6782223","16.41591536","283.3187529","184.8865259","8.8179127","32.60379898","16.77189614","17.08327601","85.47398471","164.7231011","176.5002331","3.032084357","107.8592926","98.36151261","24.1071325","9.091099957","69.02139494","85.85338678","94.97915392","4.001017746","22.45827136","39.28580224","73.11303811","19.54513815","225.2676491","4.701381183","50.66442492","73.58281372","89.34102911","217.0031016","16.46167581","81.83850174","147.0743276","30.24660638","68.32742585","87.81506429","46.00519626","7.636830834","94.13190753","17.89245599","2.266007205","17.83681208","7.173019464","15.8930758","0.291765941","84.3427948","10.77320595","42.67987794","21.47894542","2.350183425","236.737066","104.9749183","3.818357093","105.3585983","209.3728932","61.61999059","25.25239724","22.91613371","57.59173731","127.1475448","7.323434789","273.4137907","17.80287139","138.3395658","127.0825288","92.38885947","120.7755814","9.168812948","3.264253665","69.76925099","8.695383747","122.5766523","38.98877793","42.90155212","17.57447071","6.067883429"
"Nuts And Seeds","10.79452055","51.31506849","49.31506849","19.67123288","17.89041096","44.57534247","9.369863014","5.452054795","7.068493151","5.753424658","4.712328767","38.52054795","20.95890411","17.50684932","50.73972603","15.34246575","6.219178082","1.397260274","8.356164384","0.95890411","22.76712329","11.04109589","2.328767123","6.493150685","2.383561644","2.219178082","32.35616438","26.2739726","3.178082192","22.35616438","51.42465753","15.61643836","20.54794521","29.09589041","24.10958904","2.547945205","23.20547945","3.452054795","12.1369863","0.98630137","4.547945205","18.32876712","19.31506849","8.98630137","3.068493151","9.123287671","6.465753425","25.04109589","9.726027397","12","18.76712329","13.5890411","22.19178082","1.835616438","0.904109589","13.64383562","7.232876712","8.109589041","1.01369863","19.97260274","13.01369863","9.424657534","34.71232877","3.780821918","9.506849315","1.835616438","15.78082192","9.643835616","7.945205479","29.26027397","5.506849315","9.287671233","12.79452055","6.02739726","11.97260274","19.31506849","9.095890411","13.50684932","3.452054795","5.068493151","9.726027397","11.09589041","31.15068493","7.808219178","3.506849315","7.04109589","10","9.643835616","2.273972603","2.767123288","6.904109589","9.260273973","5.835616438","5.342465753","4.575342466","6.082191781","10.16438356","10.71232877","9.178082192","9.04109589","24.35616438","4.767123288","12.1369863","32.43835616","5.369863014","3.068493151","23.56164384","0.684931507","11.97260274"
"Total Processed Meats","37.73934777","40.25189344","10.11849793","37.47993253","1.917555061","13.49566605","10.64735548","8.892339205","21.76543178","26.70126486","1.052587193","83.89111378","7.215998256","20.99752287","8.985093493","18.23438184","17.63322902","41.97715823","6.714928708","10.28395291","21.91394558","9.468983488","56.21321603","51.02931827","26.44426482","22.38623104","9.65583601","7.133671101","9.410963385","13.32013018","22.40948046","4.525200426","40.86679161","8.801902942","9.714448444","46.70182973","36.58472101","71.48957923","66.8344874","62.12961323","111.8469892","80.35878984","87.26000818","58.50791793","0.575607114","54.42427631","18.20663942","25.34246594","96.95652515","34.50792494","87.32441335","61.70335557","7.359152165","69.33404067","25.52730781","135.7356401","47.98437952","74.81473482","53.62315106","105.7870977","94.27211265","99.8411682","12.91568367","38.07020781","63.97186422","76.02463697","20.03473199","4.539738346","116.1940979","28.1018645","16.0582813","73.11023191","36.06225245","17.42038183","10.83708417","8.057133217","103.9276549","26.2892276","44.87266848","2.687711748","117.6607296","51.7049335","41.97495745","50.89738996","198.3337315","74.60957118","68.382429","47.10684521","6.142316163","24.67954995","74.63470597","54.09762535","14.66805906","85.89376454","47.80909029","98.6907523","53.51779361","91.86602212","82.84250174","67.19568066","15.83818288","16.46399409","74.77753522","7.900462302","78.74184149","56.93344873","134.3157203","60.66882118","20.76380187"
"Unprocessed Red Meats","35.82229606","34.26865451","35.99109111","75.61595788","44.35641754","28.36734765","88.80469931","44.58711285","41.79621206","61.95626939","24.70083746","117.8897081","34.31824832","16.29014837","24.41216678","34.72452226","32.44896276","52.92695136","95.25767403","31.44207449","49.31893113","17.1611535","44.71829082","96.17616118","28.56943381","63.88774156","18.23457495","17.55126041","20.09588593","37.09082873","114.7686017","39.8035667","42.0921125","24.97891898","27.68281183","148.4762525","24.62075844","87.96247556","63.43948521","264.6923046","95.22150396","285.832991","168.0002658","118.0400273","13.31480384","114.3976415","101.7385661","211.3698628","184.221557","173.0263216","167.6892853","143.1733568","172.6956424","97.43308261","121.404199","105.3054558","130.3717849","142.4729364","98.67821881","179.6375598","146.1936408","125.8848592","183.2213026","116.3955456","143.9733413","137.7835822","15.93787075","8.556152065","125.5319295","80.19950536","30.32528034","179.8760695","77.0062407","116.1960565","30.17661446","203.9428668","95.96275602","53.10803267","229.812263","23.64105537","121.1885855","146.7334227","119.6140836","161.8149388","133.4744877","91.80138773","137.9189409","149.331511","42.81658795","111.210861","44.2146091","217.1352514","81.79769437","118.8733587","165.6429645","64.43253537","126.6739872","53.42164911","124.9383202","144.6399358","46.60017328","69.31682783","148.6471223","99.30501715","64.38144618","112.929565","192.5335947","105.1667953","135.647157"
"Fish","61.69863014","52","18.82191781","21.7260274","50.16438356","51.26027397","68.49315068","12.98630137","10.90410959","62.93150685","1.232876712","92.73972603","65.8630137","28.19178082","68.19178082","2.904109589","10.63013699","3.917808219","53.67123288","10.60273973","20.02739726","31.45205479","21.67123288","54.16438356","24.95890411","31.69863014","4.849315068","30.24657534","19.50684932","44.57534247","19.56164384","35.28767123","32.68493151","19.80821918","34","16.65753425","33.36986301","10.43835616","17.7260274","14.19178082","111.0410959","49.09589041","32.52054795","52.63013699","62","17.06849315","14.95890411","7.205479452","22.4109589","104.4109589","39.50684932","36","62.95890411","19.26027397","16.63013699","31.39726027","89.39726027","50.90410959","18.54794521","78.93150685","63.01369863","38.63013699","35.45205479","72.4109589","36.46575342","15.50684932","96.63013699","16.16438356","53.67123288","29.04109589","7.753424658","197.2328767","15.5890411","87.15068493","106.5753425","101.3972603","33.06849315","64.98630137","74.05479452","82.10958904","66.2739726","32.05479452","126.8767123","26.2739726","1.479452055","131.9452055","45.83561644","112.4383562","4.849315068","58.43835616","73.89041096","119.7260274","10.98630137","18.08219178","51.20547945","28.90410959","14.57534247","25.61643836","23.09589041","69.06849315","4.657534247","47.42465753","53.06849315","13.53424658","23.53424658","21.15068493","35.12328767","19.78082192","72.52054795"
"Shellfish","0.520547945","0.054794521","0.02739726","0","0.136986301","3.917808219","0.520547945","0.246575342","0.465753425","1.589041096","0","1.232876712","0.383561644","0","4.849315068","0.109589041","0.054794521","0.054794521","1.671232877","1.616438356","0.273972603","1.479452055","1.753424658","10.60273973","0","3.698630137","0","0.493150685","0.02739726","2.164383562","0","0","2.739726027","0.273972603","0","1.260273973","0.054794521","0.02739726","5.150684932","5.561643836","37.94520548","21.45205479","5.917808219","15.17808219","3.369863014","2.191780822","0.739726027","0.054794521","2.301369863","8.904109589","20.84931507","11.36986301","41.31506849","0.931506849","2.136986301","4.164383562","0.136986301","17.7260274","2.054794521","40.57534247","26.38356164","12.87671233","13.7260274","2.136986301","9.698630137","0.630136986","9.698630137","1.397260274","4.356164384","0.657534247","0.082191781","57.75342466","0.328767123","43.12328767","6.356164384","53.64383562","6.02739726","0.02739726","17.06849315","3.260273973","30.32876712","9.479452055","0.082191781","6.849315068","0","27.20547945","13.01369863","24.65753425","0.301369863","10.2739726","8","24.52054795","0.246575342","1.342465753","4.02739726","3.01369863","0.684931507","0.273972603","7.753424658","22.16438356","0","18.30136986","6.547945205","1.561643836","1.890410959","2.410958904","25.09589041","3.890410959","24.79452055"
"Eggs","1.178082192","2.767123288","5.890410959","1.205479452","5.561643836","1.01369863","1.945205479","5.123287671","24","10.65753425","1.178082192","2.767123288","3.205479452","4.246575342","1.506849315","4.684931507","3.753424658","2.657534247","19.5890411","1.726027397","2.356164384","4.301369863","6.438356164","17.17808219","2.712328767","4.054794521","0.821917808","8.876712329","1.178082192","4.520547945","0.712328767","3.095890411","23.97260274","4.02739726","1.671232877","18.93150685","9.287671233","2.95890411","40.98630137","41.17808219","10.24657534","21.26027397","36.54794521","22.35616438","7.315068493","22.43835616","14.02739726","16.65753425","26.32876712","22.21917808","37.36986301","27.34246575","53.56164384","32.46575342","22.87671233","34.52054795","9.369863014","44.19178082","25.04109589","37.78082192","35.26027397","30.16438356","28.4109589","26.16438356","23.06849315","36.98630137","13.97260274","7.671232877","24","24.68493151","22.90410959","25.69863014","8.821917808","52.08219178","3.342465753","33.09589041","38","5.205479452","10.35616438","11.80821918","39.36986301","53.01369863","23.50684932","32.65753425","8.630136986","50.21917808","56.63013699","32.05479452","8.246575342","25.23287671","10.98630137","27.28767123","42.08219178","39.28767123","42.30136986","18.38356164","29.97260274","29.20547945","23.64383562","35.7260274","18.43835616","33.04109589","10.71232877","23.94520548","42.98630137","28.95890411","40.10958904","16.4109589","11.09589041"
