Figure S2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Angola,Benin,Burkina Faso,Central African Republic,Cote d'Ivoire,Cameroon,Congo,Djibouti,Algeria,Egypt,Ethiopia,Gabon,Ghana,Guinea,The Gambia,Guinea-Bissau,Kenya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Senegal,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Argentina,Antigua and Barbuda,Australia,Austria,Belgium,Bangladesh,Bulgaria,Bosnia and Herzegovina,Bolivia,Brazil,Barbados,Canada,Switzerland,China,Colombia,Cuba,Germany,Dominica,Denmark,Dominican Republic,Spain,France,United Kingdom,Greece,Grenada,Croatia,Hungary,Indonesia,India ,Ireland,Iran,Iraq,Iceland,Jordan,Japan,Cambodia ,South Korea,Kuwait,Laos,Saint Lucia,Sri Lanka,Luxembourg,Mexico,Myanmar,Montenegro,Mongolia,Malaysia,Netherlands,Norway,Pakistan,Peru,Philippines,Portugal,Paraguay,Romania,Russia,Saudi Arabia,Serbia,Slovakia,Slovenia,Sweden,Syria,Thailand,Trinidad and Tobago,Turkey,Ukraine,Uruguay,United States,Venezuela,Vietnam
Shellfish,0.328767123,1.397260274,0.02739726,0.02739726,0.273972603,4.575342466,0.301369863,0.273972603,0.465753425,1.342465753,0,0.739726027,0.054794521,0,2.136986301,0.082191781,0.082191781,0.082191781,1.616438356,2.739726027,0.109589041,1.616438356,3.506849315,12.73972603,0,4.657534247,0,0.849315068,0,2.191780822,0,0.02739726,2.136986301,0.219178082,0,1.315068493,0.02739726,0,6.109589041,7.424657534,38.35616438,23.8630137,6.712328767,10.76712329,3.698630137,2.109589041,0.794520548,0.054794521,2.082191781,7.780821918,20.65753425,11.47945205,41.12328767,0.794520548,1.671232877,4.164383562,1.616438356,22.24657534,2.356164384,39.28767123,26.76712329,11.01369863,16.19178082,3.835616438,12.02739726,0.931506849,14.46575342,1.315068493,3.726027397,0.657534247,0.164383562,44,0.356164384,40.71232877,7.287671233,54.73972603,5.479452055,0,14.79452055,3.780821918,25.78082192,10.52054795,0.219178082,7.808219178,0.054794521,23.61643836,13.04109589,30.4109589,0.191780822,6.02739726,7.178082192,33.78082192,0.273972603,2.136986301,4.98630137,1.945205479,0.657534247,0.356164384,8.602739726,23.09589041,0,20.10958904,6.849315068,1.452054795,2.904109589,3.287671233,27.34246575,4.191780822,28.05479452
Eggs,0.191780822,2.657534247,5.808219178,1.205479452,4.739726027,1.205479452,0.98630137,6.931506849,18.38356164,8.684931507,1.04109589,2.684931507,2.739726027,5.726027397,2.602739726,3.780821918,4.082191781,1.342465753,23.97260274,1.643835616,1.287671233,5.04109589,9.068493151,18.24657534,2.849315068,3.068493151,0.684931507,7.97260274,1.123287671,5.835616438,0.657534247,5.424657534,21.39726027,2.931506849,2.356164384,16.08219178,8.904109589,3.863013699,41.75342466,44.02739726,8.465753425,22.93150685,39.23287671,22.52054795,10,22.1369863,14.87671233,20.30136986,33.20547945,23.94520548,41.12328767,27.7260274,54.19178082,37.34246575,27.34246575,36.19178082,9.808219178,43.50684932,29.15068493,39.17808219,32.54794521,30.54794521,26.60273973,28.10958904,20.16438356,37.78082192,41.5890411,9.04109589,21.97260274,22.71232877,30.2739726,32.2739726,15.26027397,54.35616438,3.150684932,35.17808219,41.45205479,4.931506849,10.52054795,11.23287671,45.06849315,54.95890411,25.89041096,28.4109589,14.1369863,48.65753425,48.30136986,32.73972603,9.260273973,28.43835616,12.54794521,28.98630137,50.82191781,36.76712329,45.26027397,21.47945205,26.30136986,34.71232877,26.32876712,39.47945205,15.7260274,33.01369863,9.232876712,23.80821918,47.53424658,31.47945205,44.4109589,14.54794521,8.493150685
Total Salt,8.012558976,5.854497115,6.745877709,6.588720688,9.733914893,7.085544632,5.284172176,5.87592913,7.171861194,6.827177017,10.83437854,2.696429749,5.709994086,6.153253872,5.866620342,6.872256937,5.271455955,6.63725064,4.662142264,5.202869005,7.832663874,9.277466748,2.296285731,7.213334671,6.017021753,7.149852707,6.306957004,6.685010947,9.928629553,6.20362285,6.034578076,5.616784154,8.080363724,6.001100993,5.776735471,8.497577844,8.939727147,5.83990165,8.027158976,4.145297047,6.511497115,6.837127709,7.897976221,6.950070688,10.38361489,6.797194632,7.084754728,5.430172176,7.530515973,6.13142913,7.365311194,6.827177017,9.87807854,2.853379749,5.709994086,6.375903872,6.655020342,7.354056937,5.322555955,6.689599498,7.293689537,6.57885064,4.384742264,6.604469005,7.533363874,9.675316748,2.862035731,7.286334671,6.301721753,6.945452707,6.354407004,6.798160947,9.983379553,9.867931573,6.20362285,10.81484263,8.93791093,12.34308595,6.713478076,6.715434154,7.930713724,6.187250993,5.773085471,8.523127844,8.895927147,7.11010165,5.173221538,7.386169057,6.657991876,5.818399084,4.44883899,9.070723041,4.943974389,9.704172144,7.501640889,7.868063166,5.629933208,7.190250802,7.332070517,8.462104722,8.729884438,10.61715532,5.32012434,6.821904192,7.293988651,6.406853715,8.256246405,5.843215761,3.289503795
Added Sugars,56.82191781,27.83561644,23.67123288,24.46575342,35.01369863,30.02739726,38.79452055,111.0684932,82.60273973,74.2739726,26.35616438,46.4109589,35.06849315,41.69863014,93.45205479,19.36986301,50.65753425,76.54794521,94.35616438,22.2739726,32.1369863,33.17808219,108.7123288,122.0547945,26.93150685,106.3013699,12.73972603,29.26027397,31.8630137,47.15068493,25.56164384,39.09589041,95.09589041,33.5890411,39.5890411,109.3424658,36.4109589,89.12328767,100.3287671,124.2739726,140.6575342,114.3835616,125.0410959,171.4246575,28.08219178,94.71232877,84.46575342,228.739726,116.4931507,166.1369863,154.6575342,123.9726027,19.34246575,202.1369863,144.7671233,121.1232877,184.5479452,153.4520548,116.109589,92.30136986,106.3013699,104.1643836,89.78082192,112.5753425,163.5068493,110.1643836,72.52054795,61.12328767,232.7945205,89.83561644,60.82191781,226.0547945,115.260274,70.79452055,102.6027397,136.6027397,105.3424658,110,109.3150685,83.5890411,446.4383562,127.2054795,78.30136986,339.3972603,177.5616438,123.3150685,103.0136986,117.0410959,64.84931507,62.32876712,59.50684932,104.3287671,74.79452055,79.47945205,188.4109589,87.09589041,70.73972603,229.890411,123.369863,134.4109589,115.1780822,164.7945205,181.6986301,87.06849315,165.260274,150.8493151,176.6849315,83.78082192,29.83561644
Non-Starchy Vegetables,103.7808219,152.630137,40.82191781,131.7808219,108.0273973,393.6164384,108.2191781,224.2465753,536.9863014,451.1780822,157.0136986,153.0958904,180.4931507,203.9726027,54.2739726,157.2054795,138.3287671,73.69863014,299.6438356,59.20547945,310.2191781,100.1917808,140.2191781,181.7808219,241.7260274,370.9315068,299.4246575,269.890411,155.3150685,358.1369863,20.60273973,60.4109589,735.9178082,153.1780822,93.42465753,106.5479452,67.01369863,42.10958904,842.4383562,193.8630137,197.5616438,249.260274,243.2054795,304.6575342,102.2465753,271.9178082,697.9178082,111.4520548,142.4383562,193.5068493,282.6027397,258.4657534,1055.342466,176.5205479,382.0273973,249.7808219,400.7123288,289.0410959,274.3013699,331.5068493,275.7808219,214.6575342,477.6438356,384.630137,835.4246575,257.9726027,125.9726027,246.9315068,248.5205479,335.5890411,279.260274,204.9041096,316.8493151,264.3013699,110.7671233,563.9452055,472,629.2876712,104.3835616,155.5890411,260.6027397,215.0958904,240.630137,331.9178082,159.3972603,195.3150685,185.2876712,197.4794521,74.76712329,212.4657534,177.6712329,304.6027397,135.0410959,573.8356164,285.6712329,175.9452055,244.0821918,177.890411,253.2328767,233.6164384,324.5479452,140.5479452,126.6575342,634.2465753,467.7534247,164.4109589,313.3150685,136.7671233,457.8630137
Potatoes,32.52054795,0.767123288,3.397260274,0.356164384,1.835616438,17.39726027,3.97260274,44.73972603,183.8356164,85.94520548,19.04109589,3.452054795,0.356164384,13.89041096,5.534246575,1.068493151,85.61643836,155.3972603,111.9178082,15.94520548,18.05479452,23.06849315,22.93150685,62.32876712,115.9452055,39.09589041,8.493150685,12.35616438,312.3013699,17.91780822,6,1.150684932,84.57534247,35.28767123,11.64383562,90.63013699,5.205479452,4,128.8219178,102.630137,31.91780822,126.739726,156.2739726,235.260274,141.5068493,74.19178082,227.8630137,194.7671233,51.09589041,98.02739726,212.9041096,128.109589,120.3835616,156.6575342,33.75342466,161.3424658,27.78082192,155.9452055,27.94520548,163.3150685,134.739726,210.0547945,152.8219178,27.5890411,107.0958904,94.08219178,12.30136986,71.31506849,188.1643836,86.98630137,43.83561644,91.97260274,52.19178082,50.65753425,0.191780822,33.04109589,101.5068493,1.287671233,30.10958904,26.54794521,89.89041096,41.53424658,20.35616438,73.5890411,123.6712329,39.50684932,197.260274,142.6849315,40.02739726,249.4520548,7.04109589,170.4931507,15.01369863,267.6712329,259.9726027,44.02739726,88.63013699,139.1780822,109.6986301,144.6849315,73.01369863,8.712328767,79.69863014,128.2465753,362.7123288,77.36986301,143.1780822,38.87671233,11.53424658
Other Starchy Vegetables,100.4109589,438.3835616,13.50684932,270.0273973,704.0821918,216.3013699,45.97260274,0,0,8.02739726,42.30136986,480.9041096,833.9452055,167.4246575,0.082191781,66.16438356,45.06849315,2.95890411,1.534246575,52.73972603,58.2739726,33.7260274,3.205479452,1.260273973,153.2328767,1.890410959,12.2739726,407.7808219,370.8493151,22.35616438,95.17808219,220.0821918,0.082191781,178.1917808,487.6986301,3.561643836,26.98630137,5.808219178,0,19.69863014,25.45205479,6.602739726,0.739726027,3.452054795,6.356164384,3.452054795,0.191780822,81.06849315,4.383561644,24.19178082,5.095890411,0.876712329,58,94.49315068,242.9863014,0.164383562,225.2876712,0.054794521,206.0547945,1.780821918,1.178082192,1.452054795,1.808219178,74.32876712,0.98630137,4.02739726,18.19178082,2.356164384,0.109589041,0,0,41.36986301,0,13.15068493,6.273972603,11.83561644,0.602739726,26,34.65753425,85.56164384,4,0.931506849,63.20547945,0.98630137,0.082191781,2.356164384,9.04109589,1.342465753,0.164383562,17.47945205,88.79452055,1.506849315,18.63013699,8.465753425,0,9.123287671,0,4.684931507,0.602739726,1.095890411,0.191780822,0.465753425,12.02739726,0,0,49.97260274,11.56164384,65.67123288,13.34246575
Beans And Legumes,24.05479452,28.79452055,52.2739726,25.61643836,6,62.4109589,7.643835616,36.21917808,20.08219178,13.64383562,63.34246575,0.438356164,18.35616438,11.06849315,2.356164384,5.534246575,43.69863014,10.49315068,20.68493151,6.684931507,28.10958904,25.97260274,27.56164384,26.93150685,50.60273973,22.54794521,107.2328767,31.26027397,105.3424658,14.49315068,25.04109589,29.47945205,24.49315068,62.2739726,42.93150685,4.02739726,12.54794521,7.616438356,14.63013699,7.863013699,7.863013699,5.863013699,8.630136986,7.753424658,20.57534247,6.082191781,19.8630137,11.91780822,37.09589041,16.63013699,34.30136986,5.726027397,17.20547945,22.82191781,56.16438356,4.904109589,12.90410959,2.547945205,27.12328767,17.67123288,5.068493151,8.904109589,13.04109589,12.1369863,2.054794521,5.643835616,5.97260274,42.90410959,8.630136986,12.68493151,11.7260274,2.794520548,17.67123288,25.83561644,27.53424658,17.47945205,14.90410959,6.301369863,16.4109589,31.69863014,2.438356164,28.73972603,36.65753425,12.38356164,1.397260274,8.109589041,8.520547945,27.69863014,13.45205479,27.42465753,3.616438356,9.97260274,26.68493151,6.520547945,7.04109589,14.98630137,7.835616438,3.561643836,7.205479452,5.534246575,24.84931507,11.83561644,24.68493151,35.69863014,4.164383562,8.191780822,10.46575342,13.36986301,22.57534247
Figure S2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Angola,Benin,Burkina Faso,Central African Republic,Cote d'Ivoire,Cameroon,Congo,Djibouti,Algeria,Egypt,Ethiopia,Gabon,Ghana,Guinea,The Gambia,Guinea-Bissau,Kenya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Senegal,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Argentina,Antigua and Barbuda,Australia,Austria,Belgium,Bangladesh,Bulgaria,Bosnia and Herzegovina,Bolivia,Brazil,Barbados,Canada,Switzerland,China,Colombia,Cuba,Germany,Dominica,Denmark,Dominican Republic,Spain,France,United Kingdom,Greece,Grenada,Croatia,Hungary,Indonesia,India ,Ireland,Iran,Iraq,Iceland,Jordan,Japan,Cambodia ,South Korea,Kuwait,Laos,Saint Lucia,Sri Lanka,Luxembourg,Mexico,Myanmar,Montenegro,Mongolia,Malaysia,Netherlands,Norway,Pakistan,Peru,Philippines,Portugal,Paraguay,Romania,Russia,Saudi Arabia,Serbia,Slovakia,Slovenia,Sweden,Syria,Thailand,Trinidad and Tobago,Turkey,Ukraine,Uruguay,United States,Venezuela,Vietnam
