Figure S4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Angola,Benin,Burkina Faso,Central African Republic,Cote d'Ivoire,Cameroon,Congo,Djibouti,Algeria,Egypt,Ethiopia,Gabon,Ghana,Guinea,The Gambia,Guinea-Bissau,Kenya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Senegal,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Argentina,Antigua and Barbuda,Australia,Austria,Bangladesh,Bulgaria,Bolivia,Brazil,Barbados,Canada,Switzerland,China,Colombia,Cuba,Germany,Dominica,Denmark,Dominican Republic,Spain,France,United Kingdom,Greece,Grenada,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Jordan,Japan,Cambodia,South Korea,Kuwait,Laos,Saint Lucia,Sri Lanka,Mexico,Myanmar,Mongolia,Malaysia,Netherlands,Norway,Pakistan,Peru,Philippines,Portugal,Paraguay,Romania,Saudi Arabia,Slovakia,Sweden,Thailand,Trinidad and Tobago,Turkey,Uruguay,United States,Venezuela,Vietnam
Shellfish,0.219178082,3.369863014,0,0.02739726,0,0,0.02739726,0.164383562,0.164383562,1.01369863,0,0.712328767,0.821917808,0.082191781,0.95890411,2.657534247,0.054794521,0,0.301369863,1.01369863,0,0.547945205,0.98630137,5.342465753,0,1.315068493,0,0.383561644,0,1.753424658,0,0.547945205,0.904109589,0.109589041,0,0.931506849,0,0.109589041,2.684931507,2.383561644,20.93150685,10.71232877,2.164383562,0.602739726,0.767123288,0.054794521,1.287671233,6.082191781,23.04109589,10,20.02739726,0.191780822,1.534246575,4.520547945,0.219178082,22.76712329,1.178082192,35.69863014,29.7260274,9.863013699,12.52054795,0.794520548,0,4.630136986,1.04109589,12.68493151,0.356164384,0,110.5753425,0.054794521,72.71232877,2.246575342,52.38356164,17.17808219,0.328767123,8.931506849,0.465753425,4.575342466,0.02739726,0,26.2739726,8.493150685,31.15068493,0.219178082,6.493150685,14.16438356,16.76712329,0.164383562,0,1.452054795,0,14.90410959,17.91780822,0.191780822,0.602739726,2.821917808,18.90410959,6.821917808,9.232876712
Eggs,0.931506849,2.219178082,6.767123288,1.452054795,2.520547945,1.917808219,0.876712329,2.054794521,10.63013699,6.02739726,1.232876712,4.630136986,1.671232877,2.821917808,3.068493151,1.123287671,4.136986301,1.753424658,17.04109589,2.465753425,2.164383562,0.054794521,4.328767123,8.109589041,4.246575342,2.328767123,1.369863014,9.150684932,0.821917808,2.821917808,1.123287671,3.205479452,15.78082192,2.98630137,1.726027397,12.68493151,8.849315068,3.643835616,13.8630137,19.45205479,6.849315068,17.01369863,37.36986301,2.301369863,31.39726027,20.1369863,20.30136986,17.53424658,28.08219178,27.26027397,33.7260274,19.09589041,14.98630137,33.06849315,5.890410959,44.16438356,12,38.16438356,43.39726027,27.17808219,26.76712329,16.68493151,45.78082192,8.356164384,3.643835616,20.90410959,17.97260274,2.602739726,20,20.30136986,54.24657534,3.123287671,25.28767123,35.53424658,2.054794521,9.342465753,6.410958904,30.65753425,2.684931507,0.219178082,34.1369863,44.71232877,28.84931507,5.095890411,9.479452055,8.547945205,23.04109589,21.45205479,26.84931507,14.10958904,45.17808219,30.98630137,27.7260274,5.205479452,22.87671233,22.60273973,36.76712329,13.53424658,4.356164384
Total Salt,8.005258976,5.858147115,7.048827709,6.585070688,9.686464893,6.760694632,5.269572176,5.76277913,7.087911194,6.721327017,9.83792854,2.696429749,5.658894086,6.149603872,5.782670342,6.857656937,5.256855955,6.48395064,4.640242264,5.217469005,7.412913874,9.270166748,2.288985731,7.180484671,6.038921753,6.627902707,6.489457004,6.630260947,9.815479553,6.21822285,6.030928076,5.616784154,8.102263724,5.982850993,5.787685471,8.512177844,8.976227147,5.83260165,8.005258976,4.167197047,5.905597115,6.691127709,7.839576221,9.956564893,6.724194632,5.269572176,7.530515973,6.29932913,7.190111194,6.790677017,9.84887854,2.718329749,5.673494086,6.284653872,6.333820342,7.124106937,5.355405955,6.693249498,7.282739537,6.39270064,4.311742264,5.834319005,9.390616748,2.475135731,6.917684671,6.097321753,6.704552707,6.215707004,6.487910947,9.961479553,9.875231573,6.24377285,10.80754263,8.88681093,12.35038595,6.687928076,6.408834154,6.092350993,5.762135471,8.881327147,6.12825165,5.005321538,7.371569057,6.504691876,5.789199084,4.47438899,8.961223041,4.922074389,9.645772144,7.338813166,7.095350802,8.301504722,10.56970532,5.00622434,6.219654192,6.374003715,8.172296405,5.876065761,3.242053795
Added Sugars,23.56164384,21.75342466,9.04109589,21.39726027,27.15068493,18.2739726,22.35616438,81.09589041,70.57534247,79.47945205,9.342465753,44.35616438,22.4109589,28.82191781,104.6027397,6.219178082,50.02739726,44.35616438,94.93150685,23.78082192,27.20547945,15.42465753,87.5890411,113.6986301,44.79452055,93.61643836,16.46575342,22.08219178,4.602739726,49.31506849,18.46575342,7.589041096,79.39726027,17.06849315,18.35616438,90.93150685,41.04109589,61.64383562,54.38356164,128.7945205,89.28767123,131.8630137,131.3972603,19.36986301,83.09589041,76.35616438,144.4657534,273.7534247,130.2739726,133.3150685,18.1369863,178.1369863,160,120.9589041,125.0410959,138.0273973,109.1506849,80.4109589,102.1917808,103.8630137,85.89041096,111.260274,117.1506849,42.87671233,57.91780822,125.7534247,73.5890411,38.71232877,166.3013699,93.80821918,84.32876712,5.369863014,86.38356164,112.4657534,10.87671233,104.6027397,51.5890411,129.5890411,19.15068493,27.23287671,136.5205479,133.0136986,121.1780822,82.60273973,40,76.60273973,79.56164384,69.5890411,70.35616438,76.98630137,116.6849315,117.3424658,74.76712329,160.6027397,83.69863014,90.60273973,182.5479452,109.3972603,23.64383562
Non-Starchy Vegetables,70.71232877,130.7945205,66.24657534,135.5068493,139.260274,212.1917808,123.4794521,117.890411,232.0273973,423.6438356,176.0547945,202.0273973,262.6027397,275.8082192,92.73972603,173.3150685,151.5616438,66.2739726,199.9178082,77.91780822,157.8356164,23.83561644,18.68493151,214.9863014,63.36986301,340.739726,102.9041096,206.5753425,117.4246575,106.3013699,47.91780822,141.7534247,449.5616438,92.49315068,57.83561644,125.0684932,72.46575342,31.75342466,399.0684932,215.4520548,145.260274,237.0684932,220.630137,32.4109589,358.5479452,165.9726027,106.5753425,415.5068493,328.739726,265.9726027,413.0136986,86.38356164,112.8219178,215.0684932,402.109589,197.2054795,74.30136986,414.2465753,294.9315068,211.890411,786.1643836,136.5753425,278.2739726,122.4109589,153.0136986,193.6164384,330.3013699,371.3150685,121.1780822,384.6027397,331.0136986,110.3287671,609.4520548,526.0273973,41.36986301,104.8219178,85.75342466,117.5068493,136.3013699,29.15068493,93.15068493,191.8356164,166.109589,97.01369863,131.6712329,182.7123288,465.2876712,139.2328767,389.369863,377.9726027,185.6438356,180,130.109589,97.42465753,674.2739726,126.7123288,338.4657534,117.5068493,143.3150685
Potatoes,5.150684932,0.164383562,1.342465753,0.767123288,0.98630137,3.671232877,2.301369863,0.054794521,100.5205479,57.26027397,14.02739726,3.068493151,0.054794521,0.191780822,0.849315068,0.575342466,75.5890411,109.3150685,64.24657534,36.21917808,11.23287671,11.28767123,7.342465753,52.95890411,82.98630137,0,0.575342466,0.739726027,50.4109589,5.589041096,5.917808219,0.328767123,74.05479452,36.43835616,36.87671233,65.91780822,2.684931507,5.835616438,61.17808219,161.5616438,19.94520548,145.2054795,183.6164384,27.20547945,81.78082192,118.3561644,39.47945205,180.3835616,224.1369863,131.5616438,41.12328767,153.6438356,68.60273973,212.7123288,15.23287671,202.9315068,9.287671233,235.5616438,194.4109589,300.109589,182.6849315,19.75342466,209.3150685,12.24657534,36.16438356,348.9589041,114.4931507,40.35616438,156.6849315,51.17808219,68.35616438,0,29.5890411,72.16438356,13.50684932,32.43835616,12.43835616,33.04109589,7.260273973,34.63013699,12.16438356,250.2191781,206,19.69863014,177.7808219,4.164383562,340.4109589,0.95890411,192.3561644,55.50684932,207.8630137,171.6164384,7.808219178,78.32876712,176.6027397,78.2739726,163.260274,49.15068493,9.178082192
Other Starchy Vegetables,37.67123288,311.5890411,18.71232877,253.5616438,690.3287671,199.4794521,92.76712329,0,0,6.164383562,15.28767123,508.7671233,469.5616438,194.7945205,0,66.32876712,30.49315068,0,0.876712329,35.64383562,7.616438356,8.493150685,4.849315068,0.821917808,48.24657534,0,13.67123288,263.6986301,251.5616438,1.01369863,86.05479452,206.3561644,0,74.49315068,778.8219178,3.068493151,14.21917808,0.301369863,0,24.30136986,8.547945205,1.095890411,0,8.95890411,0,91.78082192,6.219178082,151.6164384,1.123287671,0.054794521,140.0821918,161.2876712,96.57534247,0,112.4383562,0.054794521,111.260274,1.232876712,0,0.219178082,0.465753425,19.06849315,0,24.16438356,3.150684932,0,0,0,0.054794521,0,22.19178082,9.452054795,9.890410959,0.630136986,44.60273973,95.78082192,84.90410959,0.767123288,18.90410959,0,2.054794521,2.465753425,0,0.136986301,86.49315068,24.46575342,3.534246575,33.94520548,0.082191781,0.109589041,0,0,0,9.315068493,0,37.06849315,7.178082192,60.93150685,51.64383562
Beans And Legumes,25.26027397,21.50684932,31.97260274,15.61643836,1.315068493,24.95890411,6.328767123,8.191780822,15.67123288,22.4109589,28.54794521,0.547945205,1.890410959,10.4109589,3.479452055,5.589041096,54.21917808,12.60273973,12.02739726,14,23.28767123,26.46575342,36.65753425,24.49315068,34.93150685,25.39726027,43.83561644,29.23287671,79.01369863,12.46575342,12.87671233,15.45205479,17.75342466,51.83561644,53.28767123,11.53424658,6,10.32876712,11.75342466,3.452054795,10.68493151,5.205479452,4.164383562,11.56164384,11.50684932,5.616438356,44.02739726,36.65753425,18.87671233,3.424657534,16.35616438,18.2739726,36.54794521,4.767123288,20.71232877,2.383561644,24.16438356,15.67123288,6.136986301,14.19178082,13.69863014,17.75342466,9.369863014,11.39726027,36.65753425,6.219178082,19.5890411,8.520547945,3.260273973,17.34246575,26.90410959,3.342465753,28.05479452,21.34246575,8.849315068,17.7260274,16.93150685,40.93150685,15.83561644,1.342465753,8.301369863,5.479452055,3.123287671,21.34246575,15.61643836,4.767123288,12.21917808,31.34246575,3.205479452,9.260273973,9.97260274,3.424657534,14.79452055,34.52054795,43.01369863,7.753424658,10.98630137,18.10958904,9.287671233
Figure S4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Angola,Benin,Burkina Faso,Central African Republic,Cote d'Ivoire,Cameroon,Congo,Djibouti,Algeria,Egypt,Ethiopia,Gabon,Ghana,Guinea,The Gambia,Guinea-Bissau,Kenya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Senegal,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Argentina,Antigua and Barbuda,Australia,Austria,Bangladesh,Bulgaria,Bolivia,Brazil,Barbados,Canada,Switzerland,China,Colombia,Cuba,Germany,Dominica,Denmark,Dominican Republic,Spain,France,United Kingdom,Greece,Grenada,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Jordan,Japan,Cambodia,South Korea,Kuwait,Laos,Saint Lucia,Sri Lanka,Mexico,Myanmar,Mongolia,Malaysia,Netherlands,Norway,Pakistan,Peru,Philippines,Portugal,Paraguay,Romania,Saudi Arabia,Slovakia,Sweden,Thailand,Trinidad and Tobago,Turkey,Uruguay,United States,Venezuela,Vietnam
Cheese,0.191780822,0.054794521,0.273972603,0,0.301369863,0.246575342,0.383561644,0.684931507,5.479452055,6.301369863,0.493150685,1.095890411,0.136986301,0.082191781,0.520547945,0.054794521,0.493150685,0,3.917808219,0.136986301,0.246575342,0.082191781,2.164383562,4.191780822,0.02739726,0.739726027,1.534246575,0.246575342,0.136986301,0.739726027,0.136986301,0.109589041,2.547945205,0.520547945,0.082191781,1.589041096,0.191780822,0.739726027,2.767123288,2.493150685,7.068493151,7.97260274,29.80821918,0.383561644,3.506849315,0.301369863,1.616438356,6.136986301,24.16438356,35.45205479,0.164383562,1.287671233,5.397260274,33.94520548,1.068493151,41.17808219,1.260273973,4.684931507,32.52054795,10.87671233,5.315068493,0.794520548,29.53424658,0.109589041,3.260273973,25.09589041,5.506849315,2.301369863,35.15068493,1.863013699,1.863013699,0,2.767123288,3.945205479,0,4.876712329,0.164383562,2.164383562,0.602739726,6.410958904,1.01369863,18.05479452,27.7260274,7.698630137,0.191780822,0.383561644,4.602739726,0,5.205479452,4.931506849,17.12328767,39.7260274,0.493150685,3.205479452,6.082191781,2.849315068,5.424657534,0.356164384,0.054794521
Yoghurt,54.8997394,9.365946375,35.39061793,19.20647789,2.220447126,339.9171194,7.625267125,12.04888267,5.998228855,22.19903605,51.77104215,4.537590793,21.51219533,10.54863692,39.45266274,10.66698633,39.08392558,60.7251013,34.60324023,41.17433196,8.677718755,54.0894245,58.12483005,1.311226879,6.08194989,42.17544991,52.11398265,24.90247609,44.36885387,33.75819067,6.42097337,9.30148681,8.207514835,37.67499198,13.58938004,5.103179335,66.3138617,30.28078538,89.14268699,51.7470902,17.6446522,65.89708266,86.13055299,4.235887068,654.8011782,13.11052095,15.36875459,23.21190813,13.04249972,44.26765217,103.6873268,8.639372079,39.8883595,21.27506718,77.50864405,21.56300588,82.67856922,6.083108735,63.94373483,125.3055256,72.27293183,88.17787453,100.4625369,117.2707824,2.36208825,11.51734627,73.44954706,114.6724786,44.02223313,78.65460884,51.00416875,71.35856607,0.748435259,27.24942416,95.01148347,11.04845447,21.60964286,74.93799139,27.2998727,120.3231458,52.38112746,9.349710099,228.7611018,78.87962223,8.97501794,10.84741102,5.958834444,118.6240329,12.85582798,106.5195869,94.51568956,112.9717351,54.22716685,7.615025893,21.56572243,100.0988848,23.26575693,24.30231687,19.54131352
