Figure S3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Angola,Benin,Burkina Faso,Central African Republic,Cote d'Ivoire,Cameroon,Congo,Djibouti,Algeria,Egypt,Ethiopia,Gabon,Ghana,Guinea,The Gambia,Guinea-Bissau,Kenya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Senegal,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Argentina,Antigua and Barbuda,Australia,Austria,Bangladesh,Bulgaria,Bolivia,Brazil,Barbados,Canada,Switzerland,China,Colombia,Cuba,Germany,Dominica,Denmark,Dominican Republic,Spain,France,United Kingdom,Greece,Grenada,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Jordan,Japan,Cambodia,South Korea,Kuwait,Laos,Saint Lucia,Sri Lanka,Mexico,Myanmar,Mongolia,Malaysia,Netherlands,Norway,Pakistan,Peru,Philippines,Portugal,Paraguay,Romania,Saudi Arabia,Slovakia,Sweden,Thailand,Trinidad and Tobago,Turkey,Uruguay,United States,Venezuela,Vietnam
Shellfish,0.273972603,1.698630137,0.02739726,0,0.136986301,1.863013699,0.767123288,0.410958904,0.273972603,1.068493151,0,2.493150685,0.794520548,0,3.808219178,0,0,0.02739726,0.657534247,0.904109589,0.02739726,0.547945205,0.657534247,13.75342466,0,2.849315068,0,0.575342466,0,0.438356164,0,0.02739726,1.726027397,0.082191781,0,1.945205479,0,0.054794521,1.205479452,5.780821918,43.80821918,22.87671233,6.109589041,1.643835616,0.301369863,0.054794521,1.561643836,15.28767123,23.06849315,11.31506849,27.04109589,0.356164384,1.287671233,3.561643836,0.657534247,19.56164384,2.410958904,40.21917808,33.39726027,12.21917808,15.97260274,2.876712329,0.273972603,5.178082192,0.876712329,13.69863014,0.630136986,0,56.63013699,0.191780822,60.95890411,5.123287671,35.61643836,5.178082192,0.438356164,16.49315068,0.136986301,7.589041096,0.054794521,0,14.2739726,1.726027397,16.63013699,0.164383562,10.52054795,8.109589041,26,0.082191781,0.136986301,2.630136986,1.123287671,20.46575342,20.46575342,4.301369863,1.534246575,4.657534247,27.04109589,3.863013699,13.12328767
Eggs,3.178082192,1.863013699,6.712328767,1.287671233,4,1.205479452,1.616438356,1.698630137,12.32876712,7.123287671,1.068493151,4.136986301,2.438356164,4.520547945,4.821917808,1.780821918,3.671232877,2.054794521,17.67123288,2.191780822,1.315068493,1.01369863,4.383561644,24.24657534,3.726027397,4.301369863,1.095890411,9.068493151,0.684931507,4.602739726,0.794520548,2.657534247,19.80821918,2.246575342,1.506849315,16.02739726,8.904109589,3.890410959,19.26027397,23.45205479,11.94520548,14.21917808,36.46575342,4.164383562,33.50684932,12.21917808,19.8630137,21.09589041,30.90410959,27.47945205,45.89041096,25.23287671,20.73972603,31.83561644,6.794520548,51.94520548,16.84931507,35.36986301,39.26027397,27.91780822,25.28767123,22.87671233,44.19178082,10.49315068,5.178082192,19.28767123,24.10958904,4.684931507,23.64383562,13.89041096,52.49315068,3.205479452,27.5890411,41.39726027,5.287671233,12,5.315068493,42.73972603,9.342465753,1.424657534,33.26027397,48,27.61643836,5.97260274,12.68493151,10.2739726,25.78082192,47.04109589,38.54794521,13.04109589,34.35616438,30.4109589,24.73972603,9.452054795,26.79452055,29.61643836,40.32876712,14.90410959,5.835616438
Total Salt,8.008908976,5.865447115,6.778727709,6.588720688,9.803264893,6.848294632,5.265922176,6.47087913,7.120761194,6.783377017,9.87442854,2.754829749,5.684444086,6.149603872,5.833770342,6.857656937,5.256855955,6.53870064,4.636592264,5.261269005,7.431163874,9.277466748,2.278035731,7.355684671,6.038921753,7.000202707,6.409157004,6.648510947,9.892129553,6.26202285,6.027278076,5.616784154,8.098613724,6.044900993,5.791335471,8.526777844,8.990827147,5.84720165,8.034458976,4.156247047,6.354547115,6.709377709,7.824976221,10.05146489,6.753394632,5.331622176,7.577965973,6.67162913,7.288661194,6.794327017,9.85982854,2.853379749,5.680794086,6.310203872,7.005420342,7.091256937,5.380955955,6.667699498,7.293689537,6.45840064,4.333642264,5.808769005,9.456316748,2.675885731,7.111134671,6.144771753,6.759302707,6.252207004,6.622960947,10.04542955,9.933631573,6.24377285,10.84769263,8.85031093,12.36863595,6.786478076,6.321234154,6.169000993,5.780385471,8.943377147,6.52245165,5.147671538,7.364269057,6.588641876,5.884099084,4.44153899,8.972173041,4.900174389,9.740672144,7.576063166,7.131850802,8.370854722,10.80330532,5.23617434,6.347404192,6.363053715,8.227046405,5.872415761,3.318703795
Added Sugars,37.06849315,8.904109589,16.60273973,28.54794521,27.28767123,25.56164384,39.83561644,73.45205479,75.53424658,74.4109589,14.95890411,43.67123288,26,35.47945205,81.45205479,29.8630137,52.30136986,45.5890411,102.739726,18.76712329,35.23287671,23.97260274,88.65753425,103.2876712,34.1369863,59.75342466,18.79452055,27.47945205,5.205479452,32.76712329,25.06849315,15.47945205,92.68493151,26.68493151,25.12328767,84.16438356,29.97260274,67.53424658,58.63013699,135.8082192,79.64383562,128.2739726,135.9726027,28.71232877,94.52054795,74.32876712,115.1780822,301.6986301,147.4246575,161.2328767,16.93150685,168.9041096,148.3287671,139.5068493,120.9863014,139.1232877,107.8630137,81.94520548,114.1643836,103.0684932,93.15068493,104.4657534,98.73972603,46.54794521,54.1369863,103.9452055,75.31506849,64.54794521,130.5479452,135.6986301,78.57534247,48.95890411,104.109589,112.1917808,14.38356164,99.97260274,72.4109589,127.1232877,36.95890411,36.98630137,84.84931507,127.8630137,103.5342466,82.35616438,61.91780822,70.1369863,84.08219178,69.67123288,77.53424658,88.63013699,130.8219178,114.8493151,88.19178082,170.1369863,80.32876712,97.42465753,192.8767123,105.4520548,32
Non-Starchy Vegetables,72.2739726,142.1917808,81.34246575,128.8219178,127.2054795,286.6027397,114.5479452,201.7260274,325.2876712,575.4246575,200.4383562,197.1780822,249.6712329,232.4657534,107.8082192,176.7671233,144.2465753,61.69863014,364.5205479,70.10958904,161.8082192,30.38356164,47.26027397,203.0410959,64.1369863,410.3287671,140.5205479,287.369863,135.1506849,148.3287671,37.34246575,83.39726027,569.0958904,71.78082192,57.36986301,115.8630137,62.24657534,38.19178082,528.7945205,193.7534247,287.2054795,272.1917808,264.0273973,49.75342466,179.2328767,140.7123288,120.4931507,457.9726027,330.3835616,243.5342466,781.6712329,155.5342466,468.1369863,245.0684932,469.9726027,270.3013699,154.109589,436.6849315,288.9041096,264.3287671,753.2328767,150.2739726,310.5753425,101.4520548,161.6438356,203.6712329,606.8493151,400.5205479,181.5890411,339.0684932,307.4520548,96.84931507,592.6575342,495.9726027,360.2739726,145.1506849,96.60273973,180.109589,198.2739726,85.20547945,135.8356164,255.2054795,206.4657534,94.65753425,155.7260274,170.8767123,515.3972603,180.1643836,507.7260274,298.9315068,206.8493151,234.2739726,150.4657534,126.4383562,696.9315068,158.739726,340.5753425,170,232.6849315
Potatoes,7.753424658,0.575342466,0.383561644,0.410958904,3.095890411,11.94520548,3.04109589,0.739726027,153.7534247,86,13.47945205,6.328767123,0.575342466,3.424657534,17.36986301,0.684931507,174.3013699,133.3150685,112.2739726,18.21917808,18.49315068,10.43835616,23.69863014,50.19178082,233.2054795,32.87671233,1.945205479,8.547945205,319.6986301,14.49315068,7.068493151,0.767123288,77.28767123,39.23287671,37.78082192,79.12328767,5.863013699,7.479452055,84.2739726,92.73972603,36.43835616,148.5205479,163.3972603,76.49315068,104.4657534,138.1917808,41.5890411,268.1643836,215.4246575,111.3150685,107.9178082,80.60273973,77.50684932,180.6575342,25.97260274,207.5890411,15.78082192,186.9315068,143.6986301,313.260274,192.6575342,45.53424658,149.9178082,11.53424658,51.75342466,272.5753425,156.4931507,70.21917808,168.4383562,84.35616438,60.52054795,0.054794521,44.84931507,39.56164384,14.73972603,42.98630137,14.54794521,41.91780822,20.49315068,105.9726027,19.26027397,233.8630137,190.3287671,29.47945205,206.5753425,4.630136986,215.8082192,5.97260274,265.260274,49.28767123,176.1917808,167.4246575,15.09589041,72.1369863,133.6986301,109.0136986,162.0547945,45.26027397,11.80821918
Other Starchy Vegetables,97.83561644,327.260274,16.38356164,232.7671233,740.3561644,171.6986301,58.1369863,0,0,10.60273973,19.67123288,500.8219178,652.109589,189.3424658,0,68.63013699,48.54794521,0,0.684931507,57.97260274,40.19178082,59.7260274,4.438356164,1.315068493,59.15068493,0.191780822,9.835616438,306.8493151,244.7671233,5.753424658,74.35616438,217.2328767,0,126.2465753,604.4931507,2.657534247,14.38356164,0.410958904,2,24.82191781,19.8630137,5.04109589,0.054794521,5.369863014,0,96.21917808,4.767123288,67.34246575,2.054794521,0.136986301,104.7123288,142.8219178,201.0958904,0.02739726,155.2876712,1.260273973,119.7260274,2.328767123,0.465753425,0.98630137,1.287671233,12.30136986,0,17.78082192,2.712328767,3.342465753,0,0,0.410958904,1.150684932,24.57534247,7.616438356,12.21917808,2.98630137,43.47945205,16.43835616,68.57534247,1.534246575,27.78082192,0,1.424657534,1.095890411,0.054794521,0.164383562,123.4520548,17.17808219,1.780821918,52.16438356,0,0.246575342,0.328767123,0.054794521,0,10.73972603,0,42.16438356,8.273972603,49.83561644,11.97260274
Beans And Legumes,20,27.80821918,36.79452055,16.84931507,5.863013699,44.49315068,9.97260274,7.232876712,17.75342466,25.26027397,41.91780822,1.863013699,20.32876712,16.32876712,8,4.02739726,41.12328767,16.76712329,16.82191781,13.31506849,28.46575342,28.49315068,33.78082192,29.67123288,36.52054795,19.17808219,73.61643836,34.05479452,79.09589041,9.506849315,32.98630137,30.16438356,22.30136986,56.43835616,58.02739726,10.38356164,21.04109589,14.60273973,13.42465753,2.02739726,7.863013699,2.191780822,4.493150685,14.30136986,9.123287671,6.054794521,51.5890411,43.17808219,21.26027397,4.328767123,13.80821918,21.67123288,71.42465753,2.02739726,15.80821918,2.849315068,23.69863014,12.65753425,5.479452055,8.328767123,12.60273973,20.93150685,10.98630137,6.082191781,28.95890411,8.794520548,19.91780822,12.32876712,3.095890411,23.61643836,27.8630137,12.38356164,24.57534247,20.32876712,10.35616438,18.05479452,19.7260274,32.1369863,29.83561644,1.150684932,8.438356164,4.547945205,3.643835616,20.05479452,21.91780822,4.493150685,10.21917808,35.89041096,6.273972603,12.24657534,4.684931507,4.931506849,12.38356164,27.09589041,40.87671233,9.095890411,11.45205479,11.47945205,10.46575342
Figure S3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Angola,Benin,Burkina Faso,Central African Republic,Cote d'Ivoire,Cameroon,Congo,Djibouti,Algeria,Egypt,Ethiopia,Gabon,Ghana,Guinea,The Gambia,Guinea-Bissau,Kenya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Senegal,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Argentina,Antigua and Barbuda,Australia,Austria,Bangladesh,Bulgaria,Bolivia,Brazil,Barbados,Canada,Switzerland,China,Colombia,Cuba,Germany,Dominica,Denmark,Dominican Republic,Spain,France,United Kingdom,Greece,Grenada,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Jordan,Japan,Cambodia,South Korea,Kuwait,Laos,Saint Lucia,Sri Lanka,Mexico,Myanmar,Mongolia,Malaysia,Netherlands,Norway,Pakistan,Peru,Philippines,Portugal,Paraguay,Romania,Saudi Arabia,Slovakia,Sweden,Thailand,Trinidad and Tobago,Turkey,Uruguay,United States,Venezuela,Vietnam
