"","Cheese","Yoghurt","Total Milk","Fruits","Refined Grains","Whole Grains","Nuts And Seeds","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Total Salt","Added Sugars","Non-Starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans And Legumes","Sugar-sweetened Beverages","Fruit Juices","Coffee"
"China",0.024721849,0.517414905,2.273415756,1.338980934,41.04674625,0.020124705,0.126438356,1.236322357,2.173017803,206.8885275,0.206331812,0.002188584,0.01618014,0.033510505,5.318266046,0.608079884,0.292968847,0.087043586,0.020643362,0.000782723,1.85376e-05
"India",0.355779658,0.013104784,7.603346421,1.11454196,32.11962346,0.345657883,0.049726027,0.797921887,0.112638281,24.09476382,0.006584104,0.000365133,0.032132432,0.08271851,1.24438037,0.360225748,0.011901427,0.217054548,0.001121368,0.008063828,0
"Japan",0.065566644,0.21985997,4.814946855,0.465853493,26.82267288,0.011462187,0.030958904,3.043430576,1.520460296,113.5088715,0.204887682,0.002195223,0.003108369,0.122650348,1.331913617,0.255880679,0.066426569,0.130703984,0.019952418,0.006811723,0.000950714
"Russia",0.547105274,0.512898951,13.96425646,0.873684016,4.714617696,1.292272168,0.029315068,8.024068951,2.08226084,17.00337234,0.02495919,0.001827877,0.072780232,0.123148949,1.439604363,1.313170236,0,0.03562134,0.038534276,0.011939492,0.000381345
"Saudi.Arabia",0.391250137,0.55148144,4.105705892,1.05290125,22.60680262,0.091770285,0.030684932,12.86801701,0.629242942,30.5217506,0.009782329,0.000867467,0.04213308,0.150892204,0.886653804,0.222390617,0.046083432,0.075816627,0,0.000352326,0.000474033
"South.Korea",0.252592808,0.003790973,1.065379079,0.730226742,29.23564634,0.036626701,0.104246575,1.44138723,2.732666361,132.1769463,0.273982277,0.001420699,0.056209613,0.23666201,2.84193116,0.166896755,0.059783912,0.088429631,0.040941253,0.000981197,0.000566721
