"","Fruits","Non-starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans and Legumes","Nuts and Seeds","Refined Grains","Whole Grains","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Cheese","Yoghurt","Sugars","Milk","Salt"
"Mexico",353.0936784,234.2634256,48.90954867,1.047489728,33.00270466,12.23648841,459.7783098,27.1725874,64.35085725,169.58683,33.58876866,12.07686064,61.51944347,1.003040808,93.40678047,180.3358731,283.3422549,6.174266539
"Canada",294.906854,308.0073173,235.3657486,6.033803075,40.73703823,23.23865622,226.1472946,98.58130846,99.32287219,187.0899754,44.89269755,23.3764461,47.63979716,28.61197042,14.70286682,247.9194558,518.3238893,7.367426066
"Grenada",468.2587645,543.3300585,98.81048035,358.5646212,55.53117492,11.88551679,507.1876823,77.08893683,227.2600065,168.616101,168.3085541,9.172128287,55.64034802,8.808284296,329.8616415,190.0889101,158.042069,7.329910851
"Dominica",1376.064853,500.5610653,100.7848962,1100.630528,59.56171024,13.09799297,383.5828844,82.28742531,266.955219,175.7012405,179.082232,3.875954397,19.48597535,0.816891196,322.1570542,287.4653048,373.259877,7.111743113
"Cuba",459.9648082,715.1390152,122.8153308,1205.861752,259.7544913,3.933941188,1139.933947,185.7294423,105.9113586,179.9504504,33.58049738,4.03230382,55.03425873,2.511011877,178.6709554,204.5977199,479.5810187,5.749488279
"Barbados",249.3864052,231.89591,355.4565063,122.0289645,26.77472151,18.40161762,501.0179073,98.05646442,52.65616531,233.7790772,267.2475017,18.93669922,43.38727399,29.10733148,99.87410603,217.2648481,89.00435713,6.169569582
