"","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Armenia"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","27.82709","26.70905","25.27053","25.70870","25.57713","25.80953","24.75656","24.97161","26.81730","26.36434","25.43710","23.37454"
"Antigua.and.Barbuda"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","11.36494","10.24444","11.43707","12.89186","13.10374","10.22811","10.05630","10.71354","11.46543","12.63833","13.48361","13.88751","14.81406","13.50360","14.08018","13.00907","12.19217","12.00256","12.09627","11.69066","11.84299","11.94170","12.70142","13.10554","12.06100","12.19268","12.48496","12.16015","13.51606","17.12505","16.32065","17.61110","18.04643","14.83900","14.45307","14.01963","14.76031","15.36542","15.92503","17.76305","18.84904","20.65210","21.09393","21.13359","20.49291","19.47359","19.43516"
"Australia"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","28.77345","27.64704","26.86401","26.82085","26.77828","26.41042","25.95785","25.19505","25.36080","24.59316","24.55053","23.63352","23.61173","24.04210","23.93492","24.61851","25.61483","25.66594","25.60458","27.04597","25.17308","26.52184","26.37902","25.18645","25.56516","23.68091","22.31998","23.47406","24.12406","25.27208","25.38646","25.42087","27.48251","27.65088"
"Austria"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","34.52496","34.11051","34.35682","33.42315","33.44019","33.04470","32.25829","31.78340","30.60292","30.94195","30.75546","30.22957","29.98821","29.75486","30.02876","29.95502","29.44811","28.71268","28.80757","29.26191","29.13013","28.96486","28.83497","28.76183","28.61155","28.43989","27.66834","27.69794","27.61479","27.41821","27.59091","27.76673","27.41220","26.27770","26.03964","25.85709","26.00980","25.96977","25.78570","25.51524","25.91247","25.80232","25.71909","25.53638","25.65449","25.72803","25.20554","25.24462"
"Azerbaijan"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","30.04775","29.60329","36.53659","32.14873","27.65191","30.99634","35.14967","36.99142","34.95611","39.10360","42.53831","43.46264","46.15423","48.53984","50.76903","58.52426","65.15347","66.12119","65.71036","56.35858","59.77134","61.73284","59.45579","57.05442","53.58685","44.89132","47.55781","49.70173","52.25054","48.82363","41.95632","48.81817","56.14674","46.63174"
"Burundi"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 9.404353"," 9.757409","10.793965","11.625902","12.119384","12.582686","11.742287","12.182040","14.306732","14.715434","11.670738","12.715934","14.294879","14.481214","12.580921","11.821876","12.128847","15.711353","14.814693","17.262918","17.326876","17.534852","18.986006","20.123413","19.572909","16.800672","11.782592","13.890432","14.691285","16.119611","15.539571","15.573191","15.804000","15.741712","16.323019","16.933004","15.315291","17.156194","15.415205","16.919529","15.386156","14.809681","15.750813","15.584801","15.498212","11.766429","12.207363","10.993131","11.107217","10.935980","10.742950","10.599390","10.637788"," 9.587042"
"Belgium"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","26.04581","25.81089","26.10987","25.57069","24.72584","24.94383","24.31215","23.78734","23.22665","22.96000","22.57378","22.13993","22.28195","21.59545","20.48906","20.65959","20.75146","19.99565","19.91519","19.61906","19.47677","19.09811","19.15456","18.96413","19.24171","19.08117","17.99749","19.51856","18.53201"
"Benin","10.226975"," 9.813302"," 9.791309","11.469420","10.793437"," 7.981849","11.306613","11.413063","10.868814","11.063065","11.703749","13.480804","13.888125","14.296126","17.084225","16.164329","12.910034","12.556987","14.005365","13.343345","12.281670","12.910404","15.122419","15.356975","17.069452","16.702425","12.107845","12.365566","13.394672","12.768016","12.453385","11.982630","12.727681","12.217102","13.338064","13.392311","13.266941","13.520708","12.566471","18.045704","18.756348","21.606306","21.256065","21.765336","20.499425","21.613592","21.157014","19.511177","17.660622","17.919508","18.009053","18.137449","16.956685","17.243709","16.411577","16.385095","15.702068","15.107586","14.641957","16.312561","16.290549","16.467400","17.017717","17.301919"
"Burkina.Faso","19.91384","19.89453","19.36765","20.62367","20.08144","18.69634","19.02157","22.08831","22.71910","22.44426","22.25057","24.24406","23.31426","26.20050","22.97752","25.94075","26.46718","21.30310","21.45053","20.66000","19.81093","18.76586","18.84452","20.35731","19.96613","19.22958","20.72949","22.54788","21.51240","22.12623","20.36915","19.25549","20.25968","19.85311","20.41120","19.94489","18.49222","19.68278","17.85594","22.46464","21.87075","20.63892","20.63381","22.62507","22.65918","20.16583","20.50385","22.54833","20.54792","22.95588","26.05555","28.37227","26.86751","24.09575","24.92954","24.36138","24.88152","25.15002","25.58944","27.42591","29.46948","28.53062","28.73548","29.25074"
"Bangladesh"," 6.973816"," 6.794118"," 7.963862"," 7.804593","10.423024","10.723025","10.315086"," 8.102828"," 9.262346"," 9.186404"," 8.729083"," 7.683839"," 6.064102","12.110337","13.372728","11.611047","14.449203","16.729074","14.309713","15.686455","20.116676","19.805972","20.042882","20.871625","21.430550","20.321663","20.379014","19.600817","19.936209","19.786707","20.145626","21.119505","21.717891","22.934256","23.469992","23.580824","21.683917","21.862670","22.660742","22.375866","22.279383","22.583812","22.839254","22.474149","22.779720","23.299844","24.095321","24.500541","24.727001","25.295572","24.956477","25.045300","25.309959","26.307070","26.311047","26.831395","31.069151","31.248292","31.982814","32.852549","32.911565","33.316094","33.920080","34.594272"
