"","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Europe...Central.Asia..excluding.high.income."," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","36.74436","37.87404","38.26987","34.70023","38.60134","37.75617","32.71718","34.47283","32.64944","30.64248","30.14963","30.54528","28.77440","27.95921","27.35521","26.72482","26.79149","27.09020","27.82527","29.08607","29.40675","30.00202","27.97968","28.48790","29.91057","29.69151","29.68368","29.88438","28.59378","28.63708","29.47686","30.03440","28.71781","28.44594","30.66785","31.15322","28.56053"
"Europe...Central.Asia"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","30.08657","29.00095","27.98567","27.74513","26.86170","26.39045","26.06787","25.66657","25.13694","25.26938","24.85330","24.35036","24.03060","24.08818","24.24437","24.54205","24.51898","24.60953","22.94357","23.37695","23.65430","23.52038","23.18744","22.88743","22.89786","22.70553","22.99912","23.18055","22.99765","22.59546","23.20878","24.28453","23.82655"
"Ecuador","22.02076","21.66823","21.69328","22.15941","23.76270","23.82359","25.32213","24.63191","25.04306","25.66048","27.46137","28.35628","27.05080","24.38244","26.46261","25.61979","26.98103","27.91559","27.08589","28.69751","26.80371","28.23209","29.59638","27.72719","29.52683","29.49522","27.16391","27.19622","29.11360","28.95425","30.12981","30.44020","32.61490","28.58268","28.25006","27.14052","26.78918","25.87336","25.81631","28.78033","34.69291","28.46381","27.98097","27.54686","29.66374","32.12447","34.79335","35.43523","38.92016","31.09162","33.90618","37.40570","37.09175","36.83229","35.71200","28.09004","27.53396","28.46801","28.01475","26.65046","23.98113","27.43638","29.21198","26.85713"
"Egypt","21.55926","22.05469","24.75648","25.04806","25.04029","24.06974","23.99297","23.80858","22.72942","24.11861","21.42054","22.12282","21.66745","20.49537","23.27608","25.40798","23.77472","24.70188","26.16840","34.72936","33.38866","31.28132","30.04542","28.58647","28.76582","29.59517","27.88662","25.94175","27.44967","26.58961","27.40605","32.13333","31.41121","31.14691","30.50286","30.24510","29.51874","28.99962","28.64509","28.40085","30.75187","30.89886","32.58350","33.37059","34.66792","34.14873","36.15474","35.06539","36.21255","35.81645","35.78452","35.95172","39.25130","39.88696","39.89033","36.63020","32.45595","34.39587","35.32988","35.82542","32.36944","31.18764","32.71143","32.11904"
"Euro.area"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","28.49218","27.92974","27.04243","26.67455","26.43666","25.80307","25.55526","25.40430","24.97187","24.94271","24.63825","24.17659","23.82198","23.72643","23.53240","23.70225","23.68401","23.30543","21.77435","21.98599","21.97222","21.78462","21.45786","21.32129","21.67017","21.66937","21.67409","21.67284","21.62216","21.59249","21.80878","22.36397","22.65664"
"Eritrea"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","10.76051","13.61073","12.79922","15.08393","18.90623","20.98061","19.28035","20.87421","19.16068","18.53351","19.17384","19.69660","19.61274","20.46239","18.15291","19.19521","25.91468","21.81934"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"
"Spain"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","28.36403","28.11456","28.09945","27.88417","27.92461","28.02064","27.98855","27.76441","27.41443","26.96745","27.13178","26.89855","26.26694","26.18695","24.78215","22.98595","21.88717","20.79927","20.02794","19.86960","19.92306","19.79373","19.90472","19.73857","19.97791","20.11939","20.31657","20.93091","20.11641"
"Estonia"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","27.38145","26.55850","26.11083","25.23706","23.84320","24.88270","25.37864","25.48283","26.10581","25.42610","26.25529","26.94311","26.84222","26.13194","23.27615","24.03455","25.34667","24.63168","24.67800","24.10602","23.11549","23.23404","23.18086","23.28866","22.31338","21.77171","22.65162","23.33905","21.74211"
"Ethiopia"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 8.527880"," 8.618272"," 8.276972"," 9.895564"," 8.950732"," 9.467960","10.736937","10.025769","10.066686"," 9.077381"," 7.099958"," 5.945668"," 7.273196"," 7.984246"," 9.060147"," 9.545525","11.905133","11.288720","11.897931","11.410467","11.927929","12.740280","12.899502","12.685540","11.788834","11.592316","11.589497","10.206854"," 9.683480"," 9.435128"," 9.664642"," 9.476138","10.944557","13.471325","16.297794","21.932568","23.581906","27.305702","24.822368","23.102295","21.850027","22.717528","24.476676"
"European.Union"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","28.67383","28.06687","27.07471","26.76159","26.55577","25.97458","25.76314","25.61201","25.16936","25.15132","24.84644","24.41057","24.05812","24.03012","23.90026","24.12057","24.15160","23.85196","22.36621","22.62355","22.69515","22.42628","22.00309","21.93770","22.30907","22.27112","22.22273","22.22739","22.17473","22.06582","22.27122","22.91142","23.25411"
"Finland"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","35.48330","34.05248","33.49448","33.62691","34.30910","34.04040","33.58819","32.75145","32.60851","32.05531","30.93517","30.13275","30.48719","30.09295","30.40197","29.22255","26.50927","26.25669","26.98984","28.25276","29.51937","28.87024","29.03832","30.54031","30.44260","31.60295","30.94950","30.11924","29.53584","29.37615","29.25558","30.24742","30.67214","29.56505","25.66209","26.18538","25.03908","23.35885","23.29813","23.06186","23.30393","23.47659","24.47064","24.11073","24.14661","24.22722","24.23261","25.20855","23.86470"
"Fiji"," 0.00000"," 0.00000"," 0.00000","22.85992","23.65108","22.68836","22.47285","23.08869","22.70233","21.15505","20.75078","18.78244","20.05358","19.68666","20.22222","20.44808","20.52928","18.99713","17.95785","19.70195","20.15858","19.18561","19.54042","17.81255","16.96064","17.44379","18.22193","19.25225","19.57300","21.36644","21.08781","21.45225","21.95950","22.25997","21.96281","20.81919","20.77196","21.35141","20.95905","19.02415","19.58735","20.62435","19.90060","18.65583","19.76163","16.45093","16.16190","15.48083","16.08609","16.67781","16.97258","17.41334","16.72297","16.33721","15.01277","15.17127","16.20269","15.69405","15.53732","15.81866","17.18900","16.67329","15.70713","14.19213"
"France","29.85099","30.23260","29.56575","29.32681","29.89130","30.01384","29.88157","29.56516","29.25227","28.62919","28.88281","29.34150","28.73203","29.02281","28.59287","28.47900","28.02249","28.04433","27.87772","27.47183","27.59137","26.85596","26.23989","26.01754","25.53721","25.38755","25.25337","24.83675","24.76768","24.18136","24.26045","24.10561","23.82165","22.84139","21.99760","22.09789","21.44002","21.33317","21.23699","21.01125","21.12868","20.76402","20.36411","19.92328","19.66869","19.35523","19.01889","18.89889","18.63352","18.01982","17.59459","17.68000","17.46843","17.56999","17.34162","17.23644","16.94336","16.74830","16.72528","16.90700","16.27265","16.08773","16.19809","18.47019"
"Faroe.Islands"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","17.14645","18.24838","17.83876","18.61713","19.37019","18.81791","18.11927","17.23775","16.94184","16.86811","17.32355","15.96325","14.23571","14.30281","14.19396","13.81342","15.66818","16.48553","15.60074","17.30650","17.88794","19.11335","20.98885","19.52492","17.94679","19.66991"
"Micronesia..Fed..Sts.","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","6.857624","7.576325","7.050700","8.152167","7.853257","8.182515","8.253694","6.786900","6.637008","6.118858","5.251319","4.054557","3.150196","3.759257","6.886393","7.235470","8.162566","8.338154","7.307298","6.030484","6.113276","6.046954","5.429415","4.866454","4.817919","4.885349","5.022872","4.854744","4.854739"
"Gabon","33.91758","31.56536","30.60173","38.13336","30.75439","33.87387","34.93380","37.87425","45.54183","45.58652","47.59775","45.57563","51.24425","47.85840","63.35755","62.28374","62.35572","58.25848","57.82641","61.75923","60.42911","58.40877","60.63588","56.83665","59.69670","66.52782","47.50064","48.84822","35.94957","41.72969","42.99642","44.61223","43.31982","45.24836","52.61903","52.36345","55.36597","53.65218","43.14178","48.81574","56.25520","47.71007","47.31567","47.03917","51.50054","59.92236","59.46632","57.22221","61.74200","50.44675","55.19246","60.88121","58.82460","56.60862","52.72224","48.18363","45.03785","45.46731","47.12709","47.67886","41.51410","52.94298","59.12750","53.52604"
"United.Kingdom"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","27.41656","26.71614","26.32777","25.74790","26.27402","24.36253","24.49052","23.62805","22.97614","22.57296","22.62299","21.71472","21.29232","20.84065","20.24214","20.26675","20.13127","19.73771","19.99354","18.55479","18.58801","18.32544","18.30170","18.62172","18.22875","18.09412","17.59395","17.80510","17.90035","17.75886","17.41134","16.73409","17.24166","17.50018"
"Georgia"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","32.81888","33.33875","35.42822","34.19193","33.44482","36.93444","34.26405","35.16916","34.76009","36.22684","31.40452","34.47195","23.65952"," 0.00000"," 0.00000"," 0.00000","23.03994","22.22003","21.79965","21.23062","20.99750","20.53641","22.73739","24.08543","24.17577","23.75806","21.71444","20.90056","18.94374","18.92639","16.87791","17.68004","18.84674","18.03372","18.17129","19.76989","19.12216","21.26749","20.90428","20.00737","21.07096","21.06756","21.32978","18.87995"
"Ghana"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000","18.622101","18.379447","20.478723","20.352941","19.140430","18.238158","18.280000","17.726465","18.594687","18.133047","21.010789","19.215446","15.838036","12.027066","12.281199","11.868758"," 9.162008"," 6.247470"," 6.628522","10.582087","16.676675","17.153148","16.319035","16.565893","16.723798","16.772830","16.964246","17.375088","24.818574","24.899135","24.284996","23.578541","25.667805","25.266536","25.412783","25.403922","25.215980","25.275674","25.209915","24.716756","25.125436","19.382095","19.492807","19.399565","18.514092","18.014943","23.863660","27.136534","34.089822","33.898203","31.119380","27.693255","29.952218","31.177744","31.107724","29.876754","28.405015","31.470051","29.459552"
"Guinea"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","23.57594","23.57219","22.91367","22.76427","23.73640","20.97134","18.43219","19.49547","17.23207","19.27839","20.36866","19.74524","21.16106","19.79122","21.52309","21.82040","21.48150","21.75737","20.92364","21.98795","34.27540","30.76640","32.93284","32.28873","32.31384","32.61440","31.57676","29.64071","29.69416","26.32464","30.10384","31.65399","33.34100","29.39080","28.51227","28.82107","26.50293","26.34231"
"The.Gambia"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 8.296390"," 8.343057"," 8.338192"," 8.342189"," 8.214777"," 8.209607"," 8.277027"," 8.242188"," 8.297743"," 8.907563"," 9.611530"," 9.553131","10.644531","11.646197","13.015188","12.483205"," 9.552211","10.919742","16.645689","13.646965","11.317673","10.837391"," 9.488806","10.352029","11.009487","15.360008","15.170034","15.200113","14.625533","14.873929","20.703665","15.574346","16.068710","15.594207","14.822673","14.766825","15.806977","14.849025","11.451664","11.494080","12.123892","11.879540","11.162051","10.211008"," 9.828166","11.512660","11.958369","11.894696","13.214834","17.143453","20.935593","17.892755","17.310426","17.282601","16.853685","15.882123","15.588970","16.658932"
"Guinea.Bissau"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000","21.245501","22.077852","22.462233","24.393902","25.491796","25.361683","15.526528","22.639086","19.987361","19.862676","18.726908","15.918925","14.408856","11.455960","14.371265","15.640609","19.803346","12.294191","13.466281","16.357379","17.417950"," 9.247323","10.387207"," 9.672519","10.866077","11.477097","10.905347"," 7.167385"," 8.532489"," 7.897902"," 8.881129"," 9.969766","15.823280","16.754553","12.440440","12.440096","12.092406","12.599018","12.381376","12.756403","13.749515","12.255671","12.045751","13.154531","14.682269","12.926848","12.022693","11.705893","16.370572","15.678109","15.830717","15.149608","16.023083","18.779830"
"Equatorial.Guinea"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","82.91490","81.30170","84.34919","75.32473","74.74456","78.06487","77.31150","72.44926","70.19095","59.10059","52.33025","56.86223","57.29508","52.07541","45.40541","50.20179","56.21100","46.50381"
"Greece"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","19.51104","19.01422","18.21310","18.50721","19.18299","18.71341","19.15210","19.02446","20.50634","20.47733","18.40069","20.50138","18.74615","16.67114","16.09348","15.06553","14.37924","14.79982","15.06432","14.14428","14.44061","14.30534","13.54389","13.68041","13.41396","14.29560","14.77120","16.69772","15.28185"
"Grenada"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","10.84707","10.51535","11.19901","10.20015","11.69602","13.72171","13.02045","12.49234","12.84750","13.36652","14.17459","14.41888","13.44156","13.30159","15.32376","15.27374","14.88676","15.45840","15.85036","15.55657","16.17010","16.64912","17.36640","17.90952","16.51186","16.61716","17.00871","16.71183","22.84785","19.42265","18.81854","17.55499","14.72587","14.70933","13.34304","12.31803","13.39783","12.81044","12.32429","12.15519","12.71588","13.43318","13.64176","13.09416","14.54796","16.17942","14.95339"
"Greenland"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","14.63296","15.71066","16.24433","16.72222","16.78411","18.21721","17.98228","18.08424","18.06052","18.91179","18.13323","15.69619","17.04671","17.68741","17.01055","18.21301","17.14223","18.34625","16.06133"," 0.00000"," 0.00000"
"Guatemala"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","17.04546","17.83341","18.55981","18.65736","19.06362","18.66459","18.81340","18.76354","19.19885","18.72427","18.49365","20.10291","20.88259","21.19655","21.52469","21.98693","21.74650","21.23633","20.50419","19.75626","19.66962","20.09047","19.84642","20.19080","20.10505","19.78776","19.57546","20.00923","19.87963","19.68554","19.66159","19.68544","19.97425","19.99437","20.11987","19.79112","27.34207","27.18269","27.44250","27.88336","27.58114","28.26905","27.88436","28.11682","27.52597","27.49183","27.94362","28.12344","22.95295","23.19272","22.73751","22.61444","21.90491","21.42643","21.94226","22.32946","22.24131","22.59900","22.28506"
"Guyana","27.86155","28.12304","31.80730","29.63823","31.62624","31.39310","31.68724","32.51822","34.47225","34.87766","35.34354","33.78834","32.75488","29.74566","30.14560","31.73895","32.11865","32.36419","30.84326","30.20134","31.69761","25.79837","25.03458","18.59673","20.56524","20.66667","22.94931","26.01439","25.76124","25.86641","17.39547","20.21249","16.50618","23.55220","24.22229","21.01256","22.60927","21.84893","20.87276","19.89892","20.00123","20.08264","19.64928","18.04962","17.11393","16.66919","22.07168","23.65894","24.73910","24.57000","24.90273","26.45388","26.58775","25.62806","24.39213","24.71874","29.38293","26.20709","26.25976","28.68932","38.79608","50.38958","67.82065"," 0.00000"
"High.income"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","27.29183","26.50346","26.34485","26.52619","25.43082","24.73979","24.73213","24.94509","25.18761","25.41171","25.27277","25.13752","23.36485","23.96686","24.23122","24.09190","23.76661","23.62745","22.81366","22.38983","22.77917","23.12869","22.69924","21.98247","22.45427"," 0.00000"," 0.00000"
"Hong.Kong.SAR..China"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000","12.082383","11.347985","10.636525"," 9.858602"," 9.172944"," 8.457679"," 7.995871"," 6.891085"," 7.002103"," 6.871197"," 6.835828"," 6.717173"," 6.844524"," 6.947699"," 7.067506"," 7.058017"," 7.475715"," 7.218762"," 6.478879"," 6.254714"," 6.170582"," 5.989492"," 6.262627"," 6.323985"
"Honduras","17.07135","16.66199","17.84655","17.99122","17.81182","17.42849","17.13792","18.90988","19.59647","20.06736","20.05533","20.45144","20.48568","21.75343","22.90962","22.46441","20.77151","20.33543","23.56630","24.53266","23.68589","22.52212","24.96192","25.09982","27.17543","26.55997","26.20400","27.91740","27.07028","29.23499","31.33094","29.23446","30.36255","30.72200","31.54130","31.10096","31.00890","30.19584","29.74402","30.71155","29.38093","27.69506","27.26239","27.37166","26.53784","26.24004","26.78488","26.15667","25.94978","26.02196","25.58713","25.81422","26.11357","25.40932","24.51078","25.64997","25.82790","26.53892","26.59246","26.72432","25.35786","25.82016","25.90842","26.03242"
"Heavily.indebted.poor.countries..HIPC."," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","14.74104","14.90288","15.61166","15.04413","18.22648","18.99947","18.64271","19.53459","20.40331","18.88511","20.28696","20.28656","19.59958","19.72545","20.18878","19.79320","20.26561","20.53139","21.38984","21.22694","21.78634","22.05750","22.86507","23.14776","23.81870","23.99725","24.50219","23.18616","23.72207","25.06041","24.93492","25.66705","25.13252","23.96253","23.98322","25.33654","27.68759","26.05644","25.27680","25.73937","26.83092","25.28552"
"Croatia"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","26.53816","25.49789","26.58414","24.91150","24.01123","24.20229","23.80425","22.91320","23.34093","24.14882","23.77347","23.40275","22.93863","22.75634","22.68935","21.36567","21.49936","21.03825","20.50544","20.65084","20.36762","20.27535","19.77099","19.28991","19.57602","20.09528","19.58415","20.06515","21.01032"
"Haiti"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","22.08161","22.71931","23.08566","25.98774","22.93742","24.05917","22.22778","30.39463","34.92061","32.01767","34.85369","33.14782","23.04849","23.59849","23.21169","25.30987","25.61287","25.03670","26.49469","25.29631","26.70120","26.22554","23.53327","24.59258","25.37328","25.68992","26.56063","26.05569","24.44868","23.70541","24.13852","23.38233","23.32754","25.52811","29.34114","31.03701"
"Hungary"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","25.80554","25.41211","27.79031","28.09543","27.51775","27.04855","27.13783","26.80703","26.38904","26.85061","27.18178","27.19185","26.70197","25.76107","25.08935","25.19990","25.10410","25.01820","25.04908","25.69054","26.38323","25.49249","25.16968","25.08482","24.71178","24.38025","24.17596","24.64836","24.32018"
"IBRD.only","44.10493","36.19575","35.11821","36.71496","38.10590","39.33907","40.34394","37.45916","36.28469","38.08341","39.30817","40.29508","40.27077","40.61608","42.58398","41.86204","41.51548","41.45296","39.64547","40.98533","38.85984","37.58766","37.87939","37.53351","37.44256","36.38891","35.50068","35.63735","36.70346","38.17800","38.03701","36.00133","35.31160","35.86807","36.04562","33.83782","33.93400","34.01403","32.91401","33.62703","34.51965","34.18202","34.73644","34.74751","35.63889","36.21859","36.84793","36.56019","37.17530","35.97151","36.43215","36.76169","36.51187","35.70082","35.13639","34.85734","34.01450","34.26573","34.92548","34.05078","33.64584","35.41179","35.63210","34.23907"
